Temperature,Weight_Loss,Heating_Rate,Heating_Rate_ID
242.4,0.0274,10,1
242.6,0.0281,10,1
242.8,0.0288,10,1
243,0.0295,10,1
243.3,0.0302,10,1
243.5,0.031,10,1
243.7,0.0317,10,1
243.9,0.0324,10,1
244.1,0.0332,10,1
244.4,0.0339,10,1
244.6,0.0347,10,1
244.8,0.0355,10,1
245,0.0363,10,1
245.2,0.0371,10,1
245.4,0.0379,10,1
245.7,0.0388,10,1
245.9,0.0397,10,1
246.1,0.0406,10,1
246.3,0.0416,10,1
246.5,0.0426,10,1
246.7,0.0436,10,1
246.9,0.0447,10,1
247.2,0.0458,10,1
247.3,0.0469,10,1
247.6,0.0481,10,1
247.8,0.0493,10,1
248.1,0.0506,10,1
248.4,0.0519,10,1
248.6,0.0532,10,1
248.8,0.0547,10,1
249,0.0561,10,1
249.2,0.0576,10,1
249.4,0.0592,10,1
249.6,0.0608,10,1
249.8,0.0624,10,1
250.2,0.0641,10,1
250.4,0.0659,10,1
250.6,0.0677,10,1
250.8,0.0695,10,1
251,0.0714,10,1
251.2,0.0734,10,1
251.4,0.0754,10,1
251.7,0.0775,10,1
251.9,0.0797,10,1
252.1,0.0819,10,1
252.3,0.0842,10,1
252.6,0.0866,10,1
252.8,0.089,10,1
253.1,0.0915,10,1
253.3,0.0941,10,1
253.5,0.0968,10,1
253.7,0.0995,10,1
253.9,0.1023,10,1
254.1,0.1052,10,1
254.3,0.1081,10,1
254.5,0.1111,10,1
254.8,0.1142,10,1
255,0.1173,10,1
255.3,0.1205,10,1
255.5,0.1237,10,1
255.7,0.1269,10,1
255.9,0.1302,10,1
256.1,0.1336,10,1
256.4,0.137,10,1
256.6,0.1405,10,1
256.8,0.144,10,1
257.1,0.1476,10,1
257.3,0.1513,10,1
257.5,0.155,10,1
257.7,0.1587,10,1
257.9,0.1625,10,1
258.1,0.1664,10,1
258.4,0.1703,10,1
258.5,0.1743,10,1
258.8,0.1782,10,1
259,0.1823,10,1
259.3,0.1864,10,1
259.6,0.1905,10,1
259.8,0.1946,10,1
260,0.1988,10,1
260.2,0.2029,10,1
260.4,0.2071,10,1
260.6,0.2113,10,1
260.8,0.2156,10,1
261,0.2198,10,1
261.3,0.2241,10,1
261.6,0.2283,10,1
261.8,0.2327,10,1
262,0.2369,10,1
262.2,0.2412,10,1
262.4,0.2454,10,1
262.7,0.2497,10,1
262.9,0.2539,10,1
263.1,0.2582,10,1
263.3,0.2624,10,1
263.5,0.2666,10,1
263.7,0.2708,10,1
264,0.275,10,1
264.2,0.2792,10,1
264.5,0.2834,10,1
264.7,0.2875,10,1
264.9,0.2916,10,1
265.1,0.2957,10,1
265.3,0.2998,10,1
265.5,0.3038,10,1
265.8,0.3077,10,1
266,0.3117,10,1
266.3,0.3156,10,1
266.5,0.3195,10,1
266.7,0.3233,10,1
266.9,0.327,10,1
267.1,0.3307,10,1
267.4,0.3344,10,1
267.6,0.338,10,1
267.8,0.3416,10,1
268,0.3452,10,1
268.2,0.3488,10,1
268.5,0.3523,10,1
268.7,0.3558,10,1
268.9,0.3593,10,1
269.2,0.3627,10,1
269.4,0.3661,10,1
269.6,0.3694,10,1
269.8,0.3727,10,1
270,0.3759,10,1
270.2,0.3791,10,1
270.4,0.3823,10,1
270.7,0.3854,10,1
271,0.3885,10,1
271.2,0.3916,10,1
271.4,0.3946,10,1
271.6,0.3976,10,1
271.8,0.4005,10,1
272,0.4035,10,1
272.2,0.4063,10,1
272.4,0.4092,10,1
272.6,0.412,10,1
272.8,0.4147,10,1
273.1,0.4174,10,1
273.3,0.42,10,1
273.5,0.4227,10,1
273.7,0.4253,10,1
273.9,0.4278,10,1
274.1,0.4303,10,1
274.3,0.4328,10,1
274.5,0.4352,10,1
274.8,0.4375,10,1
275,0.4399,10,1
275.1,0.4422,10,1
275.4,0.4444,10,1
275.7,0.4466,10,1
275.9,0.4487,10,1
276.1,0.4509,10,1
276.3,0.4529,10,1
276.5,0.4549,10,1
276.6,0.4567,10,1
276.9,0.4586,10,1
277.1,0.4603,10,1
277.3,0.462,10,1
277.6,0.4638,10,1
277.8,0.4654,10,1
278,0.467,10,1
278.2,0.4685,10,1
278.4,0.4699,10,1
278.6,0.4714,10,1
278.8,0.4728,10,1
279,0.4741,10,1
279.2,0.4754,10,1
279.4,0.4767,10,1
279.6,0.4779,10,1
279.9,0.4791,10,1
280.1,0.4802,10,1
280.3,0.4812,10,1
280.5,0.4822,10,1
280.7,0.4832,10,1
280.9,0.4842,10,1
281.1,0.4851,10,1
281.3,0.486,10,1
281.5,0.4869,10,1
281.7,0.4877,10,1
281.9,0.4886,10,1
282.2,0.4894,10,1
282.4,0.4902,10,1
282.6,0.4909,10,1
282.8,0.4917,10,1
283,0.4924,10,1
283.2,0.4931,10,1
283.4,0.4937,10,1
